Feature ID	Surface	Area	Feature	User story	Expected behavior	Code evidence	Runtime/API evidence	Test evidence	Status	Defects	Fix status	Retest status	Notes
DESK-CHAT-002	Desktop	Chat	Message streaming	As a user I see assistant progress and final response.	Assistant response streams or resolves without stuck loading state; errors surface clearly.	apps/x/apps/renderer/src/components/chat*; service-events.ts	runs:events; services:events	Manual dogfood observed final mock response and run events.	Tested-Pass	None	N/A	Retest-Pass	
DESK-CHAT-003	Desktop	Chat	Chat history	As a user I can reopen previous chat tabs or history.	Prior chats are listed, selectable, and retain messages.	apps/x/apps/renderer/src; runs:list; runs:fetch	runs:list; runs:fetch	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-CHAT-004	Desktop	Chat	Stop generation	As a user I can stop a running assistant response.	Stop cancels or halts the run and leaves a readable partial state.	apps/x/packages/shared/src/ipc.ts	runs:stop	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-CHAT-005	Desktop	Chat	Permission authorization	As a user I can approve or deny assistant tool permissions.	Permission prompt names the action, records the decision, and run continues or fails cleanly.	apps/x/packages/shared/src/ipc.ts	runs:authorizePermission	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-CHAT-006	Desktop	Chat	Human input requests	As a user I can answer assistant prompts for missing information.	Human input prompt collects input and resumes the run.	apps/x/packages/shared/src/ipc.ts	runs:provideHumanInput	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-CHAT-007	Desktop	Chat	Attachments and mentions	As a user I can attach files or mention workspace context.	Composer accepts supported context; invalid references show clear feedback.	apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx	workspace:*; search:query	Not yet tested post-fixes.	Needs-Test	None	N/A	Pending	
DESK-CHAT-008	Desktop	Chat	Model selector	As a user I can select a model for chat.	Model list loads; selected model is used or unsupported models are disabled.	apps/x/apps/renderer/src/components; models:list	models:list; /v1/llm/models	API models endpoint passed during make api-up 2026-06-27; desktop selector not yet tested.	Needs-Test	None	N/A	Pending	
DESK-CHAT-009	Desktop	Chat	Run logs download	As a user I can download logs for a run.	Log export creates a file with the relevant run trace.	apps/x/packages/shared/src/ipc.ts	runs:downloadLog	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-HOME-001	Desktop	Home	Home dashboard	As a user I can see a useful starting dashboard.	Home loads without empty broken cards; recent notes and tasks render when available.	apps/x/apps/renderer/src/components/home-view.tsx	knowledge and bg-task IPC	Manual Electron dogfood 2026-06-27 loaded populated Home after renderer reload; visible task, meeting, connections, chat, and prompt sections.	Partial-Test-Pass	None	N/A	Pending	Need empty-state and quick-action click-through pass.
DESK-HOME-002	Desktop	Home	Quick actions	As a user I can start common work from Home.	Quick actions route to the right surface or open the right dialog.	apps/x/apps/renderer/src/components/home-view.tsx	renderer actions	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-HOME-003	Desktop	Home	Recent background tasks	As a user I can see recent task activity on Home.	Recent task cards use task terminology and show usable status.	apps/x/apps/renderer/src/components/home-view.tsx	bg-task:list	Manual dogfood 2026-06-27 found stale Create an agent and background agent wording; patched Home and chat empty-state copy and retested visible Home text.	Tested-Pass	FIX-20260627-005	Fixed	Retest-Pass	
DESK-HOME-004	Desktop	Home	Empty states	As a new user I see clear empty states instead of dead space.	Empty dashboard sections give next actions without misleading unavailable features.	apps/x/apps/renderer/src/components/home-view.tsx	renderer state	Not yet tested with clean no-data workspace.	Needs-Test	None	N/A	Pending	
DESK-BGTASK-001	Desktop	Background tasks	Task list	As a user I can see all background tasks.	Task list shows name, target, active state, schedule state, and run status.	apps/x/apps/renderer/src/components/bg-tasks-view.tsx	bg-task:list	Manual dogfood viewed list after creating tasks 2026-06-27.	Tested-Pass	None	N/A	Retest-Pass	
DESK-BGTASK-002	Desktop	Background tasks	Create dialog	As a user I can create a task from a guided or manual flow.	Dialog opens, manual configuration can be selected, required fields gate Create.	apps/x/apps/renderer/src/components/bg-tasks-view.tsx	bg-task:create	Manual dogfood opened dialog and verified required-field disabled state.	Tested-Pass	None	N/A	Retest-Pass	
DESK-BGTASK-003	Desktop	Background tasks	Manual task creation	As a user I can define a custom task manually.	Task YAML is written; task appears in list with configured target.	apps/x/apps/renderer/src/components/bg-tasks-view.tsx; apps/x/packages/shared/src/background-task.ts	bg-task:create	Manual desktop task created 2026-06-27.	Tested-Pass	None	N/A	Retest-Pass	
DESK-BGTASK-004	Desktop	Background tasks	Copilot task creation	As a user I can ask the app to generate task configuration.	Copilot flow gathers intent and creates a valid editable task.	apps/x/apps/renderer/src/components/bg-tasks-view.tsx	bg-task:create	Manual Electron dogfood 2026-06-27 found Copilot handoff launched a failed chat when Solomon session was expired; added auth guard and retested that new-task opens manual-only while auth is unavailable.	Partial-Test-Pass	FIX-20260627-013	Fixed	Retest-Pass	Copilot success path still needs a valid Copilot session.
DESK-BGTASK-005	Desktop	Background tasks	Desktop manual run	As a user I can run a desktop-target task immediately.	Run starts locally, reaches a terminal state, and run history updates.	apps/x/packages/core/src/background-tasks	Fresh fixed-build run qa-fixed-desktop-sync-1782552384310 completed run 2026-06-27T09-26-25Z-0075932-000 with summary "Hello from the mock LLM."	Remote cloud event stream stored 3 desktop transcript events; second sync stayed idempotent at 3 events.	Tested-Pass	FIX-20260627-021	Fixed	Retest-Pass	Desktop event sync now emits desktop.* event types and pages by last remote seq; API log sweep found no unknown-type or seq-collision warnings for the fresh run.
DESK-BGTASK-006	Desktop	Background tasks	API manual run	As a user I can run an API-target task immediately.	Trigger queues API worker run; status/events/artifact are visible in desktop.	apps/x/packages/core/src/background-tasks/cloud-sync.ts; bg-tasks-view.tsx	Dogfood API manual task qa-dogfood-api-manual-1782551271377 succeeded as run api-trigger-98803ec4-ab11-4b00-9656-902d59cabaf1; make validate after redeploy also passed run api-trigger-cbb87281-924b-4df2-98d1-4a8c569271e6.	Kind validation polled status to succeeded/Completed and observed API worker artifact path.	Tested-Pass	None	N/A	Retest-Pass	API manual worker path healthy after JSON-mode devstack mock and event-routing config fixes.
DESK-BGTASK-007	Desktop	Background tasks	Cron desktop schedule	As a user I can schedule a desktop-target task.	Cron due time is detected locally and creates a desktop run.	apps/x/packages/core/src/background-tasks	Dogfood desktop cron task qa-dogfood-desktop-cron-1782551271377 fired locally at 2026-06-27T09:08:15.324Z as run 2026-06-27T09-08-15Z-0065416-000.	Scheduler log showed matched cron firing; task lastRunAt/summary updated.	Tested-Pass	FIX-20260627-021	Fixed	Retest-Pass	Desktop cron works; cloud transcript sync warnings fixed by desktop.* event namespace and run sync serialization.
DESK-BGTASK-008	Desktop	Background tasks	Cron API schedule	As a user I can schedule an API-target task.	API schedule syncs to Temporal; next due and health are current; scheduled run succeeds.	apps/x/packages/core/src/background-tasks/cloud-sync.ts	Dogfood API cron task qa-api-scheduled-1782557314569 schedule state recovered to temporal_schedule/current and fired sched-temporal-dbd9effd-2b64-49b8-91ee-07de3dc0822e; immediate create-to-schedule-state retest qa-schedule-state-immediate-1782557519649 returned current/temporal_schedule without 404.	Status reached succeeded/Completed with executor api and no HTTP trigger; kind validate also passed scheduler run sched-temporal-4fe95249-08f1-4b09-a3de-d274b74a06df.	Tested-Pass	FIX-20260627-029	Fixed	Retest-Pass	Fixed desktop schedule-state read to flush task sync before fetching remote schedule summary.
DESK-BGTASK-009	Desktop	Background tasks	Event triggers	As a user I can trigger tasks from supported cloud events.	Event source configuration is retained and runs fire for matching event payloads.	apps/x/packages/shared/src/background-task.ts; apps/rowboat-api/internal/events	Dogfood API event task qa-dogfood-api-event-1782551271377 received event 8cf50160-265b-4dbf-91c9-43f99e5660f6, routingStatus routed, matchedTaskCount 1, and run event-ed9fad99-052d-4c7e-b7ba-334e8c0f74d8 succeeded.	Event ingest/detail/runs APIs were exercised and linked the successful API run.	Tested-Pass	FIX-20260627-018; FIX-20260627-019	Fixed	Retest-Pass	Required enabling cloud event routing in kind and JSON-mode responses in devstack mock.
DESK-BGTASK-010	Desktop	Background tasks	Active toggle	As a user I can enable and disable a task.	Inactive tasks do not run from schedules; target is preserved when disabled.	bg-tasks-view.tsx; cloud-sync.ts	bg-task:patch; /v1/background-tasks/{slug}	Manual cleanup disabled API and desktop cron tasks and confirmed targets preserved.	Tested-Pass	None	N/A	Retest-Pass	
DESK-BGTASK-011	Desktop	Background tasks	Cloud run detail	As a user I can inspect API run details.	Detail view shows status, trigger, executor, events, and artifact preview.	bg-tasks-view.tsx	bg-task:getCloudRun; bg-task:listCloudRunEvents	Manual IPC check inspected successful API run lifecycle and artifact preview.	Tested-Pass	None	N/A	Retest-Pass	UI detail still needs visual pass.
DESK-BGTASK-012	Desktop	Background tasks	Cancel API run	As a user I can cancel an in-flight API worker run.	Cancel marks run canceled or returns clear terminal-state error if already done.	bg-tasks-view.tsx; cloud-sync.ts	Electron IPC `bg-task:cancelCloudRun` on completed API run api-trigger-e2d84ab4-fb39-408f-a960-486fcd45c4da returned success true with status succeeded and Temporal Completed.	Terminal-run cancel no longer calls Temporal and is idempotent; active long-running cancellation still needs a slow fixture.	Partial-Test-Pass	FIX-20260627-027	Fixed	Retest-Pass	Terminal behavior covered; in-flight stop semantics remain unproven.
DESK-BGTASK-013	Desktop	Background tasks	Retry API run	As a user I can retry a failed API worker run.	Retry creates or queues a new attempt and links it to prior run.	bg-tasks-view.tsx; cloud-sync.ts	Electron IPC retried failed API run sched-cron-531f3cf7-df63-462c-af15-64ef3332793e for qa-api-scheduled-1782555389026.	Retry created retry-5f2ac2df-a438-47a1-a31a-8634be950b33 with trigger retry, attempt 2, and polled to succeeded.	Tested-Pass	FIX-20260627-027	Fixed	Retest-Pass	Retry of completed run also returned clear 400 "only failed or stopped runs can be retried".
DESK-BGTASK-014	Desktop	Background tasks	Signal API run	As a user I can signal an API worker run when it needs input.	Signal reaches Temporal workflow or returns a clear unsupported-state message.	bg-tasks-view.tsx; cloud-sync.ts	Electron IPC `bg-task:signalCloudRun` on completed API run api-trigger-e2d84ab4-fb39-408f-a960-486fcd45c4da returned clear 400 "only queued or running runs can be signaled" instead of 502.	Terminal-run signal now fails before Temporal with user-actionable state.	Partial-Test-Pass	FIX-20260627-027	Fixed	Retest-Pass	Live signal delivery still needs a long-running workflow fixture.
DESK-BGTASK-015	Desktop	Background tasks	Artifact pull and sync state	As a user I can pull cloud artifacts into the desktop workspace.	Artifact status is current and pull updates the local task workspace when content exists.	cloud-sync.ts; bg-tasks-view.tsx	bg-task:pullCloudArtifact; /v1/background-tasks/{slug}/artifact	Manual API workflow observed final artifact preview; desktop pull path tested by smoke script.	Tested-Pass	None	N/A	Retest-Pass	
DESK-BGTASK-016	Desktop	Background tasks	Offline run handling	As a user I can see and reconcile runs created while offline.	Offline runs are listed and synced or marked with an actionable error when cloud returns.	cloud-sync.ts; bg-tasks-view.tsx	bg-task:offlineRuns	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-WORK-001	Desktop	Workspace	File tree browse	As a user I can browse workspace files.	Directory tree lists files and folders and handles missing roots gracefully.	apps/x/packages/shared/src/ipc.ts	workspace:readdir; workspace:stat	Manual Electron dogfood 2026-06-27 opened Workspaces empty/no-workspace state with Add workspace and Open in Finder controls visible.	Partial-Test-Pass	None	N/A	Pending	Need add workspace and file tree populated-state pass.
DESK-WORK-002	Desktop	Workspace	Read and edit file	As a user I can open, edit, and save workspace files.	File contents load; edits persist; write errors are surfaced.	apps/x/packages/shared/src/ipc.ts	workspace:readFile; workspace:writeFile	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-WORK-003	Desktop	Workspace	File operations	As a user I can create, rename, copy, and delete files or folders.	Operations update the tree and never silently overwrite unexpectedly.	apps/x/packages/shared/src/ipc.ts	workspace:mkdir; workspace:rename; workspace:copy; workspace:remove	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-WORK-004	Desktop	Workspace	File watcher	As a user I see external file changes reflected in the app.	Watcher event refreshes visible file state without manual reload.	apps/x/packages/shared/src/ipc.ts	workspace:didChange	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-KNOW-001	Desktop	Knowledge	Knowledge view	As a user I can browse the knowledge base.	Notes and knowledge items render with useful empty and populated states.	apps/x/apps/renderer/src/components; knowledge IPC	knowledge:history; memory:*	Manual Electron dogfood 2026-06-27 opened Knowledge/Notes view with search, graph, new note, folder, base, and reveal controls visible; clean isolated Electron retest created `knowledge/untitled.md`, opened the markdown editor, typed QA marker text, showed Saved, and persisted the marker to disk.	Tested-Pass	None	N/A	Retest-Pass	Graph/search actions visible; version history and restore are tracked separately.
DESK-KNOW-002	Desktop	Knowledge	Version history	As a user I can inspect prior note versions.	History lists commits and opens selected file versions.	apps/x/packages/shared/src/ipc.ts	knowledge:history; knowledge:fileAtCommit	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-KNOW-003	Desktop	Knowledge	Restore prior version	As a user I can restore a prior note version.	Restore writes the selected version and records a new change.	apps/x/packages/shared/src/ipc.ts	knowledge:restore	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-KNOW-004	Desktop	Knowledge	Suggested topics	As a user I can review suggested topics.	Topics view loads suggestions and actions are clear.	apps/x/apps/renderer/src/components/suggested-topics-view.tsx	renderer route	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-MEM-001	Desktop	Memory	Memory indexing	As a user I can index workspace memory.	Index progress, status, and errors are visible and recoverable.	apps/x/packages/core/src/memory; apps/x/apps/renderer/src/components/settings	memory:indexProgress; memory:status	Core memory tests passed in npm test 2026-06-27.	Tested-Pass	None	N/A	Retest-Pass	UI settings path still needs pass.
DESK-MEM-002	Desktop	Memory	Memory search	As a user I can search indexed memory.	Search returns ranked results or empty state without crashing.	apps/x/packages/core/src/memory; ipc.ts	memory:search	Core tests passed; UI not yet tested.	Needs-Test	None	N/A	Pending	
DESK-MEM-003	Desktop	Memory	Related memory	As a user I can see related context for a note or chat.	Related results are scoped and useful; empty results are explicit.	apps/x/packages/core/src/memory; ipc.ts	memory:related	Core tests passed; UI not yet tested.	Needs-Test	None	N/A	Pending	
DESK-MEM-004	Desktop	Memory	Embedding fallback	As a user I can still use the app when embeddings fail.	Embedding errors do not break unrelated workflows and are reported where relevant.	apps/x/packages/core/src/memory/embed.ts; embed.test.ts	memory:*	npm test passed embedding tests 2026-06-27.	Tested-Pass	None	N/A	Retest-Pass	
DESK-EMAIL-001	Desktop	Email	Email account status	As a user I can see whether Gmail is connected.	Disconnected state prompts connection; connected state shows account email.	apps/x/packages/shared/src/ipc.ts	gmail:getConnectionStatus; gmail:getAccountEmail	Manual Electron dogfood 2026-06-27 opened Email disconnected state with search, refresh, and Connect your email CTA; CTA opened Connections settings and close recovered body pointer events.	Partial-Test-Pass	None	N/A	Pending	Connected Gmail happy path still requires OAuth credentials.
DESK-EMAIL-002	Desktop	Email	Important inbox	As a user I can read important email threads.	Important thread list loads and thread detail opens.	apps/x/packages/shared/src/ipc.ts	gmail:getImportant	Not yet tested.	Needs-Test	None	N/A	Pending	May require OAuth credentials.
DESK-EMAIL-003	Desktop	Email	Everything else inbox	As a user I can browse non-important email.	List loads separately from important inbox and preserves state.	apps/x/packages/shared/src/ipc.ts	gmail:getEverythingElse	Not yet tested.	Needs-Test	None	N/A	Pending	May require OAuth credentials.
DESK-EMAIL-004	Desktop	Email	Reply compose	As a user I can draft and send a reply.	Reply body is captured, sent, and thread updates or shows send error.	apps/x/packages/shared/src/ipc.ts	gmail:sendReply	Not yet tested.	Needs-Test	None	N/A	Pending	May require OAuth credentials.
DESK-EMAIL-005	Desktop	Email	Thread actions	As a user I can archive, trash, and mark threads read.	Action succeeds once and list state updates.	apps/x/packages/shared/src/ipc.ts	gmail:archiveThread; gmail:trashThread; gmail:markThreadRead	Not yet tested.	Needs-Test	None	N/A	Pending	May require OAuth credentials.
DESK-EMAIL-006	Desktop	Email	Email sync	As a user I can manually refresh email data.	Sync trigger starts work and reports completion or actionable failure.	apps/x/packages/shared/src/ipc.ts	gmail:triggerSync	Not yet tested.	Needs-Test	None	N/A	Pending	May require OAuth credentials.
DESK-MEET-001	Desktop	Meetings	Meetings list	As a user I can see captured meetings.	Meetings page lists recordings or a useful empty state.	apps/x/apps/renderer/src/components/meetings-view.tsx	meeting:*; transcription:*	Manual Electron dogfood 2026-06-27 opened Meetings with Take meeting notes, Coming up, and Connect your calendar CTA; CTA opened Connections settings and toolkit list.	Partial-Test-Pass	None	N/A	Pending	Need actual meeting capture and calendar-connected state.
DESK-MEET-002	Desktop	Meetings	Take meeting notes	As a user I can start meeting-note capture.	App opens the notes flow and checks permissions before capture.	apps/x/packages/shared/src/ipc.ts	app:takeMeetingNotes; meeting:checkScreenPermission	Not yet tested.	Needs-Test	None	N/A	Pending	Requires macOS permission path.
DESK-MEET-003	Desktop	Meetings	Screen recording permission	As a user I can fix missing screen permissions.	Missing permission shows a button to macOS settings.	apps/x/packages/shared/src/ipc.ts	meeting:openScreenRecordingSettings	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-MEET-004	Desktop	Meetings	Summarize meeting	As a user I can summarize a meeting transcript.	Summary generation starts, completes, and persists summary text.	apps/x/packages/shared/src/ipc.ts	meeting:summarize	Unit regression 2026-06-27 reproduced meeting summarizer hanging when related-memory lookup stalled; added deadline and retested cloud-success plus fallback summarizer unit paths.	Partial-Test-Pass	FIX-20260627-010	Fixed	Pending	Need full desktop capture and persistence workflow.
DESK-LIVE-001	Desktop	Live notes	Live notes list	As a user I can see existing live-note agents and notes.	List loads active and historical live notes.	apps/x/packages/shared/src/ipc.ts	live-note:list; live-note:listNotes	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-LIVE-002	Desktop	Live notes	Start live note	As a user I can start a live note session.	Session starts and active state is visible.	apps/x/packages/shared/src/ipc.ts	live-note:run; live-note:setActive	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-LIVE-003	Desktop	Live notes	Stop live note	As a user I can stop an active live note.	Stop transitions the run and preserves captured content.	apps/x/packages/shared/src/ipc.ts	live-note:stop	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-LIVE-004	Desktop	Live notes	Edit live note metadata	As a user I can update or delete live note entries.	Set and delete operations reflect in the list without stale rows.	apps/x/packages/shared/src/ipc.ts	live-note:set; live-note:delete	Not yet tested.	Needs-Test	None	N/A	Pending	
DESK-BROWSER-001	Desktop	Browser	Browser pane visibility	As a user I can show and hide the embedded browser pane.	Pane toggles without covering primary UI unexpectedly.	apps/x/packages/shared/src/ipc.ts	browser:setVisible; browser:setBounds	Manual Electron dogfood 2026-06-27 opened BrowserPane from Run browser task, verified native Google view, bounded viewport, close browser unmounted renderer pane, and no renderer errors.	Tested-Pass	None	N/A	Retest-Pass	Evidence browser-pane-google-visible.png.
DESK-BROWSER-002	Desktop	Browser	Tabs	As a user I can create, switch, and close browser tabs.	Tab list updates and the active tab remains clear.	apps/x/packages/shared/src/ipc.ts	browser:newTab; browser:switchTab; browser:closeTab	Manual Electron dogfood 2026-06-27 created a second browser tab, switched between Google and Example Domain, and closed the inactive tab; state and native CDP targets updated.	Tested-Pass	None	N/A	Retest-Pass	
DESK-BROWSER-003	Desktop	Browser	Navigation controls	As a user I can navigate web pages inside the pane.	Navigate, back, forward, and reload update browser state correctly.	apps/x/packages/shared/src/ipc.ts	browser:navigate; browser:back; browser:forward; browser:reload	Manual Electron dogfood 2026-06-27 navigated active tab from Google to https://example.com, verified Back returned to Google and Forward returned to Example Domain.	Tested-Pass	None	N/A	Retest-Pass	Reload button visible and enabled; full reload click remains low-risk follow-up.
DESK-BROWSER-004	Desktop	Browser	State updates	As a user I can see current URL/title/loading state.	Browser state events match the visible embedded page.	apps/x/packages/shared/src/ipc.ts	browser:getState; browser:didUpdateState	Manual Electron dogfood 2026-06-27 verified title/address/back-forward state for Google and Example Domain via visible controls and browser:getState.	Tested-Pass	None	N/A	Retest-Pass	
DESK-SET-001	Desktop	Settings	Account tab	As a user I can view account identity and billing state.	Account tab shows current user or signed-out state and billing information.	apps/x/apps/renderer/src/components/settings/account-settings.tsx; apps/x/apps/renderer/src/components/settings-dialog.tsx; ipc.ts	account:getSolomon; billing:getInfo	Manual Electron dogfood 2026-06-27 rendered account email, plan, payment, usage, and logout controls; fixed Log Out closing Settings without confirmation and fixed expired-session billing fetch surfacing as a console error instead of re-login UI.	Tested-Pass	FIX-20260627-006; FIX-20260627-009	Fixed	Retest-Pass	
DESK-SET-002	Desktop	Settings	Connections tab	As a user I can manage connected accounts and connectors.	Connected accounts render; disconnect and toolkit state are clear.	apps/x/apps/renderer/src/components/settings/connected-accounts-settings.tsx; connectors-popover.tsx	composio:*; oauth:*	Manual Electron dogfood 2026-06-27 found tab body stayed blank/stale when switching; removed animated tab wrapper and retested Connections list and toolkit search render from Settings, Email, and Meetings CTAs; fixed OAuth reconnect alert Dismiss and View connected accounts paths.	Partial-Test-Pass	FIX-20260627-003; FIX-20260627-012	Fixed	Retest-Pass	Need OAuth connect and disconnect happy/error paths.
DESK-SET-003	Desktop	Settings	Models tab	As a user I can configure model providers.	Model config saves, test call reports success or clear error, and redacts secrets.	apps/x/apps/renderer/src/components/settings-dialog.tsx	models:list; models:test; models:saveConfig	Manual Electron dogfood 2026-06-27 found Models hidden for Solomon-connected users and stale/blank content on tab switch; exposed tab, removed stale animated pane, saved Solomon model config, and retested close.	Tested-Pass	FIX-20260627-002; FIX-20260627-003; FIX-20260627-004	Fixed	Retest-Pass	
DESK-SET-004	Desktop	Settings	Transcription tab	As a user I can choose meeting and voice transcription providers.	Provider selection persists and unavailable providers explain requirements.	apps/x/apps/renderer/src/components/settings-dialog.tsx	transcription:getConfig; transcription:setConfig	Manual Electron dogfood 2026-06-27 rendered Transcription settings after tab-switch fix; visible privacy, voice input, on-device models, benchmark, and meetings controls.	Partial-Test-Pass	FIX-20260627-003	Fixed	Pending	Need provider toggle persistence and benchmark/model download pass.
DESK-SET-005	Desktop	Settings	Note tagging tab	As a user I can configure note tagging.	Tagging settings persist and influence new notes.	apps/x/apps/renderer/src/components/settings-dialog.tsx	workspace:readFile; workspace:writeFile config/tags.json	Manual Electron dogfood 2026-06-27 found clean config showed only subtabs and disabled Save; now renders all note/email groups, Add controls, created qa-test tag, saved config/tags.json, and saw success toast.	Tested-Pass	FIX-20260627-007	Fixed	Retest-Pass	
DESK-SET-006	Desktop	Settings	Memory tab	As a user I can inspect and control memory indexing.	Memory status and indexing progress render accurately.	apps/x/apps/renderer/src/components/settings/memory-settings.tsx	memory:status; memory:indexProgress	Manual Electron dogfood 2026-06-27 rendered Memory status/retrieval/advanced controls and patched missing accessible names for switches and embedding inputs.	Partial-Test-Pass	FIX-20260627-008	Fixed	Pending	Need persistence check for changed memory config and indexing-progress live update.
DESK-SET-007	Desktop	Settings	Notifications tab	As a user I can configure notification behavior.	Settings load and save without requiring restart.	apps/x/packages/shared/src/ipc.ts; settings-dialog.tsx	notifications:getConfig; notifications:setConfig	Manual Electron dogfood 2026-06-27 rendered Cloud runs notification setting and patched missing accessible name on the toggle.	Partial-Test-Pass	FIX-20260627-008	Fixed	Pending	Need toggle persistence/restart verification.
DESK-SET-008	Desktop	Settings	Appearance tab	As a user I can adjust visual preferences.	Theme or appearance changes apply and persist.	apps/x/apps/renderer/src/components/settings-dialog.tsx; appearance-settings.tsx	renderer state	Manual Electron dogfood 2026-06-27 rendered Theme, Chat placement, and Chat size controls without runtime errors.	Partial-Test-Pass	None	N/A	Pending	Need click-through persistence for theme and layout options.
