"ID","Area","Feature","User Story","Expected Behavior (from code)","Code Refs","Status","Test Result","Issues Found","Fix Applied","Re-test Result"
"F021","Chat/Permissions","Auto/Manual permission mode toggle","As a user, I want to choose auto-approval vs manual approval prompts per chat, so that I can balance speed and safety.","A ShieldCheck toggle switches between Auto and Manual before a run exists; once the run is created the mode is frozen to the run's permissionMode and the control becomes disabled with an explanatory tooltip.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:1068; apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:338","Tested","Pass (traced)","","",""
"F022","Chat/Input","Code mode + coding-agent selection","As a user, I want to enable code mode and pick Claude Code or Codex, so that coding tasks are delegated to an on-device coding agent.","When the code-mode feature flag is on, a Terminal chip toggles code mode and a second segment swaps the coding agent (Claude/Codex), persisted per work dir in config/coding-agents.json; the chosen agent is passed as codeMode on send and routes to the code_agent_run tool.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:1098; apps/x/packages/core/src/application/lib/builtin-tools.ts:840","Tested","Pass (traced)","","",""
"F023","Chat/Input","Model selector","As a user, I want to pick the model for a new chat, so that I control which LLM answers.","A dropdown lists configured models (gateway models when signed in, else providers from config/models.json) and sets the model only for the next run; once a run exists it is replaced by a read-only label fixed to the run's resolved provider/model.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:1149; apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:398","Verified","Issue found","E05","E05: Initialize the composer's selected model from the config active default so shown and used model agree.","Verified — build green + adversarial code re-review"
"F024","Chat/Voice","Voice input (push-to-talk transcription)","As a user, I want to dictate a message, so that I can compose hands-free.","A Mic button (shown when voice is available) starts a recording bar with an animated waveform and live/connecting status; Enter transcribes/submits, Escape/X cancels; transcription is auto-submitted as the message and flagged voiceInput.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:850; apps/x/apps/renderer/src/App.tsx:1108","Tested","Pass (traced)","","",""
"F025","Chat/Voice","Text-to-speech voice output","As a user, I want the assistant to read responses aloud, so that I can listen instead of read.","A Headphones toggle (shown when TTS available) enables voice output and a chevron menu picks ""Speak summary"" or ""Speak full response""; the choice is sent as voiceOutput with each message and synthesized via voice:synthesize.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:1193; apps/x/apps/main/src/ipc.ts:1270","Tested","Pass (traced)","","",""
"F026","Chat/Voice","Voice command confirmation","As a user, I want parsed voice commands shown for review before they run, so that destructive actions aren't taken without my consent.","VoiceCommandConfirmation summarizes the parsed intent (email triage/reply/rule, meeting record start/stop, open command, insert text); email.triage requires explicit confirmation, and confirming invokes voice:executeCommand, closing on success.","apps/x/apps/renderer/src/components/voice-command-confirmation.tsx:20; apps/x/apps/renderer/src/components/voice-command-confirmation.tsx:89","Tested","Pass (traced)","","",""
"F027","Chat/Input","Per-tab draft persistence + preset prompts","As a user, I want my unsent text kept per chat and starter prompts to prefill, so that I don't lose work when switching tabs.","The composer restores its tab draft on mount and reports changes via onDraftChange; a presetMessage (from empty-state cards or suggestions) sets the input then is consumed, and the textarea auto-focuses on the active tab.","apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:653; apps/x/apps/renderer/src/components/chat-input-with-mentions.tsx:665","Tested","Pass (traced)","","",""
"F028","Chat/Mentions","@ file mentions","As a user, I want to @-mention knowledge files, so that the assistant reads them as context.","Typing ""@"" opens MentionPopover ranking files visible > recent > rest, filtered by query, navigable by arrows/Tab/Enter (Esc closes); selecting inserts ""@displayName"" and registers a FileMention sent as a markdown attachment content part.","apps/x/apps/renderer/src/components/mention-popover.tsx:22; apps/x/apps/renderer/src/components/ai-elements/prompt-input.tsx:989","Verified","Issue found","E04","E04: Gate the popover key handler on filtered list length > 0 so Enter falls through to submit when empty.","Verified — build green + adversarial code re-review"
"F029","Chat/Mentions","Mention highlight + whole-mention delete","As a user, I want mentions visually highlighted and deletable as a unit, so that they read clearly and edit cleanly.","An overlay highlights ""@label"" segments behind the textarea (kept scroll-synced); Backspace right after a mention deletes the entire ""@label"" token and removes it from mention state, and Backspace on empty input removes the last attachment.","apps/x/apps/renderer/src/components/ai-elements/prompt-input.tsx:1159; apps/x/apps/renderer/src/components/ai-elements/prompt-input.tsx:1054","Tested","Pass (traced)","","",""
"F030","Chat/Mentions","@solomon inline note instruction","As a user editing a note, I want to drop an inline @solomon instruction, so that the copilot can act on a specific spot in the document.","RowboatMentionPopover anchors a small textarea prefixed ""@solomon""; Cmd/Ctrl/Shift+Enter (or Add) submits the instruction via onAdd, Escape/outside-click closes, and an optional Remove clears an existing instruction.","apps/x/apps/renderer/src/components/rowboat-mention-popover.tsx:13; apps/x/apps/main/src/ipc.ts:1265","Tested","Pass (traced)","","",""
"F031","Chat","Middle-pane (open note) context injection","As a user, I want the note I'm viewing sent as context, so that the copilot answers about what's on screen.","On each send the app builds middlePaneContext (e.g. the currently open note's path and content) and passes it to runs:createMessage so the agent has the active editor context.","apps/x/apps/renderer/src/App.tsx:3008; apps/x/apps/renderer/src/App.tsx:2888","Tested","Pass (traced)","","",""
"F032","Chat/Tools","Tool call card (parameters/result tabs)","As a user, I want each tool call shown as a collapsible card with inputs and outputs, so that I can inspect what the assistant did.","Tool renders a collapsible card with a status lead icon (spinner/check/cross), a display title, and tabbed Parameters/Result content (errors shown in destructive styling, pending shown until output arrives).","apps/x/apps/renderer/src/components/ai-elements/tool.tsx:63; apps/x/apps/renderer/src/components/ai-elements/tool.tsx:170","Tested","Pass (traced)","","",""
"F033","Chat/Tools","Grouped tool calls","As a user, I want consecutive tool calls collapsed into one ""Ran N tools"" group, so that the transcript stays readable.","ToolGroupComponent collapses a run of tool calls into a single card showing a rolling/animated summary (""Ran N tools - actions""), derives group state from child statuses, and expands to per-tool collapsible rows.","apps/x/apps/renderer/src/components/ai-elements/tool.tsx:262; apps/x/apps/renderer/src/lib/chat-conversation.ts:1","Tested","Pass (traced)","","",""
"F034","Chat/Tools","Streaming command output","As a user, I want live shell/command output to stream into the tool card, so that I can watch long-running commands.","When a tool has streamingOutput the card shows an auto-scrolling terminal pre (TerminalOutput) instead of the tabbed view, sticking to the bottom unless the user scrolls up; fed by tool-output-stream events from executeCommand.","apps/x/apps/renderer/src/components/chat-sidebar.tsx:482; apps/x/packages/core/src/application/lib/builtin-tools.ts:787","Tested","Pass (traced)","","",""
"F035","Chat/Tools","Reasoning / thinking display","As a user, I want to see the model's reasoning with a duration, so that I understand how it thought without it cluttering the chat.","Reasoning auto-opens while streaming (showing a ""Thinking..."" shimmer), records elapsed seconds, and auto-collapses ~1s after streaming ends (""Thought for N seconds""); the user can re-expand it.","apps/x/apps/renderer/src/components/ai-elements/reasoning.tsx:44; apps/x/apps/renderer/src/components/ai-elements/reasoning.tsx:118","Tested","Pass (traced)","","",""
"F036","Chat/Tools","Web search result card","As a user, I want web-search results shown as a rich card, so that I can see which sites were searched and open them.","WebSearchResult animates a rolling reveal of fetched domains then settles on a favicon stack + ""Searched X, Y and N others"" summary; expanding shows the query and a clickable result list (opens in browser) with a source count.","apps/x/apps/renderer/src/components/ai-elements/web-search-result.tsx:95; apps/x/apps/renderer/src/components/chat-sidebar.tsx:440","Tested","Pass (traced)","","",""
"F037","Chat/Tools","Memory search sources card","As a user, I want memory-search results as clickable source rows, so that I can open the notes the answer came from.","MemorySearchSources renders a ""Memory - N sources"" collapsible showing each hit's note title, relevance score, and a snippet with matched spans bolded; clicking a row opens the source knowledge note.","apps/x/apps/renderer/src/components/ai-elements/memory-search-result.tsx:64; apps/x/apps/renderer/src/components/chat-sidebar.tsx:466","Tested","Pass (traced)","","",""
"F038","Chat/Tools","File path cards","As a user, I want file paths the assistant mentions to render as clickable cards, so that I can open them directly.","FilePathCard renders knowledge files (Open, opens in app), audio files (inline play/pause + Open), and other files (type icon, image thumbnail, Open via shell:openPath), driven by filepath code blocks.","apps/x/apps/renderer/src/components/ai-elements/file-path-card.tsx:301; apps/x/packages/core/src/application/assistant/instructions.ts:289","Tested","Pass (traced)","","",""
"F039","Chat/Tools","App action card","As a user, I want app-navigation actions shown as status cards, so that I can see when the assistant opens notes/views or edits bases.","AppActionCard shows the action label with an action-specific icon and a status indicator (spinner while running, green check when complete, ""Failed"" on error) for open-note/open-view/update-base-view/create-base.","apps/x/apps/renderer/src/components/ai-elements/app-action-card.tsx:26; apps/x/packages/core/src/application/lib/builtin-tools.ts:1042","Verified","Issue found","E03","E03: Add a getAppActionCardData branch rendering AppActionCard in chat-sidebar renderConversationItem.","Verified — build green + adversarial code re-review"
"F040","Chat/Tools","legacy integration vendor connect card","As a user, I want a connect card when a third-party service is needed, so that I can OAuth-link it inline.","legacy integration vendorConnectCard shows the toolkit, a Connect button that calls legacy-integration-vendor:initiate-connection, reflects connecting/connected/error states from legacy-integration-vendor:didConnect events, offers Retry on failure, and fires onConnected once.","apps/x/apps/renderer/src/components/ai-elements/legacy-integration-vendor-connect-card.tsx:20; apps/x/apps/main/src/ipc.ts:1022","Tested","Pass (traced)","","",""
"F041","Chat/Permissions","Manual permission request","As a user, I want to approve or deny tool actions, so that I control what the assistant executes on my machine.","PermissionRequest shows the requested tool with command/file paths/arguments and Approve/Deny buttons; responding collapses to a header (re-expandable) showing Granted/Denied, and calls onPermissionResponse via runs:authorizePermission.","apps/x/apps/renderer/src/components/ai-elements/permission-request.tsx:45; apps/x/apps/main/src/ipc.ts:846","Tested","Pass (traced)","","",""
"F042","Chat/Permissions","Approval scopes (once/session/always)","As a user, I want to approve a command just once, for the session, or always, so that I avoid repeated prompts for trusted actions.","For command/file permissions, the Approve button has a dropdown offering ""Allow for Session"" and ""Always Allow"", calling onApproveSession/onApproveAlways so the scope is recorded for future requests.","apps/x/apps/renderer/src/components/ai-elements/permission-request.tsx:228; apps/x/apps/renderer/src/components/chat-sidebar.tsx:703","Tested","Pass (traced)","","",""
"F043","Chat/Permissions","Switch coding agent and retry","As a user, I want to swap Claude Code/Codex when a coding command is requested, so that I can retry with the other agent in one click.","When the requested command is an acpx coding-agent invocation, the card shows the agent badge and a ""Use [other] instead"" button that calls onSwitchAgent to retry with the alternate coding agent.","apps/x/apps/renderer/src/components/ai-elements/permission-request.tsx:71; apps/x/apps/renderer/src/components/ai-elements/permission-request.tsx:261","Verified","Issue found","E02","E02: Thread an onSwitchAgent handler into ChatSidebar's PermissionRequest.","Verified — build green + adversarial code re-review"
"F044","Chat/Permissions","Auto-permission decision card","As a user, I want auto-approved/denied actions explained, so that I understand what auto mode allowed or blocked and why.","AutoPermissionDecision renders an ""Auto Allowed""/""Auto Denied"" card with the tool name, reason, and command/file paths; in the transcript an ""Auto-approved"" hover hint with the reason is appended to auto-allowed tool cards.","apps/x/apps/renderer/src/components/ai-elements/auto-permission-decision.tsx:26; apps/x/apps/renderer/src/components/ai-elements/tool.tsx:78","Tested","Pass (traced)","","",""
"F045","Chat/Permissions","Ask-human request","As a user, I want the assistant to pause and ask me a question (free text or options), so that I can steer it when it's unsure.","AskHumanRequest shows the agent's question; if options are provided it renders option buttons, otherwise an auto-focused textarea (Enter sends), and the answer is returned via onAskHumanResponse through runs:provideHumanInput.","apps/x/apps/renderer/src/components/ai-elements/ask-human-request.tsx:17; apps/x/apps/main/src/ipc.ts:855","Verified","Issue found","E01","E01: Pass options={request.options} to AskHumanRequest in chat-sidebar.tsx.","Verified — build green + adversarial code re-review"
"F046","Chat/AssistantTools","Skill loading (loadSkill)","As a user, I want the copilot to pull in specialized playbooks, so that it follows the right workflow for my task.","The loadSkill tool resolves a skill id/path and returns its guidance; instructions list a catalog (draft-emails, meeting-prep, doc-collab, code-with-agents, background-task, live-note, browser-control, app-navigation, legacy-integration-vendor/mcp-integration, etc.) the agent must load before acting.","apps/x/packages/core/src/application/lib/builtin-tools.ts:103; apps/x/packages/core/src/application/assistant/skills/index.ts:39","Tested","Pass (traced)","","",""
"F047","Chat/AssistantTools","File operation tools","As a user, I want the copilot to read/write/edit/organize files anywhere on my machine, so that it can do real work on my documents and knowledge base.","Builtin file tools cover getRoot/exists/stat/list/readText/writeText/editText/remove(trash)/glob/grep/mkdir/rename/copy with relative-to-workspace path resolution; out-of-workspace ops flow through the permission system.","apps/x/packages/core/src/application/lib/builtin-tools.ts:141; apps/x/packages/core/src/application/lib/builtin-tools.ts:388","Tested","Pass (traced)","","",""
"F048","Chat/AssistantTools","Semantic memory search tool","As a user, I want conceptual recall over my notes, so that the copilot finds relevant context even without exact keywords.","The memory-search tool runs semantic + lexical search over the knowledge vault (RFC 021), returning ranked chunks with file backlinks and falling back to lexical search; results render as the memory sources card.","apps/x/packages/core/src/application/lib/builtin-tools.ts:418; apps/x/packages/core/src/application/assistant/skills/index.ts:64","Tested","Pass (traced)","","",""
"F049","Chat/AssistantTools","Document parsing (parseFile / LLMParse)","As a user, I want the copilot to read PDFs, Office docs, and images, so that it can use non-text files as context.","parseFile extracts text locally from PDF/XLSX/CSV/DOCX; LLMParse sends documents/images to the configured LLM as a multimodal attachment to produce markdown for scanned/complex files, capturing usage analytics.","apps/x/packages/core/src/application/lib/builtin-tools.ts:442; apps/x/packages/core/src/application/lib/builtin-tools.ts:544","Tested","Pass (traced)","","",""
"F050","Chat/AssistantTools","Shell command execution","As a user, I want the copilot to run shell commands, so that it can perform tasks beyond file edits.","executeCommand runs a shell command in the workspace (or given cwd), streams stdout/stderr live, registers the process for force-kill, and returns exit code; non-preapproved commands trigger a one-time approval prompt.","apps/x/packages/core/src/application/lib/builtin-tools.ts:762; apps/x/packages/core/src/application/lib/command-executor.ts:1","Tested","Pass (traced)","","",""
"F051","Chat/AssistantTools","Code agent delegation (code_agent_run)","As a user, I want coding tasks delegated to Claude Code/Codex, so that complex software work is handled by a dedicated coding agent.","code_agent_run runs the selected on-device coding agent (chip is source of truth) in a project folder, streams tool calls/diffs/plan as code-run-events, surfaces inline permission requests, and reuses one persistent session per chat.","apps/x/packages/core/src/application/lib/builtin-tools.ts:840; apps/x/apps/main/src/ipc.ts:850","Tested","Pass (traced)","","",""
"F052","Chat/AssistantTools","Web search tool","As a user, I want the copilot to search the web, so that it can answer with current information.","The web-search tool queries Exa (via signed-in proxy or local exa-search.json key), supports a category and result count, and returns titles/urls/highlights/full text; availability gates the composer Globe toggle.","apps/x/packages/core/src/application/lib/builtin-tools.ts:1181; apps/x/packages/core/src/application/lib/builtin-tools.ts:1188","Tested","Pass (traced)","","",""
"F053","Chat/AssistantTools","Save-to-memory","As a user, I want the copilot to remember preferences and context about me, so that it improves over time without me repeating myself.","The save-to-memory tool appends a timestamped observation to knowledge/Agent Notes/inbox.md; instructions tell the agent to call it proactively for preferences, relationships, and explicit instructions, capturing situational context.","apps/x/packages/core/src/application/lib/builtin-tools.ts:1304; apps/x/packages/core/src/application/assistant/instructions.ts:103","Tested","Pass (traced)","","",""
"F054","Chat/AssistantTools","App navigation","As a user, I want the copilot to drive the app UI, so that it can open notes, switch views, and filter/search bases for me.","The app-navigation tool performs open-note, open-view (bases/graph), update-base-view (filters/columns/sort/search), get-base-state (scan frontmatter properties), and create-base; results render as app action cards.","apps/x/packages/core/src/application/lib/builtin-tools.ts:1042; apps/x/packages/core/src/application/assistant/skills/index.ts:102","Tested","Pass (traced)","","",""
"F055","Chat/AssistantTools","Browser control + browser skills","As a user, I want the copilot to operate the embedded browser, so that it can open sites and interact with live pages.","The browser-control tool reads the current page, inspects indexed interactable elements, and navigates/clicks/types/presses keys; load-browser-skill fetches site-specific recipes/selectors (load/list/refresh) surfaced as suggestedSkills.","apps/x/packages/core/src/application/lib/builtin-tools.ts:1009; apps/x/packages/core/src/application/lib/builtin-tools.ts:944","Tested","Pass (traced)","","",""
"F056","Chat/AssistantTools","MCP server management + execution","As a user, I want the copilot to discover and run MCP tools, so that it can use external integrations I've configured.","Builtin tools addMcpServer (validated), listMcpServers, listMcpTools, and executeMcpTool let the agent register and run MCP tools; instructions forbid hand-editing config/mcp.json.","apps/x/packages/core/src/application/lib/builtin-tools.ts:658; apps/x/packages/core/src/application/lib/builtin-tools.ts:735","Tested","Pass (traced)","","",""
"F057","Chat/AssistantTools","legacy integration vendor meta-tools (3rd-party services)","As a user, I want the copilot to use Gmail/Slack/GitHub/Notion etc., so that it can act across my connected services.","legacy-integration-vendor-list-toolkits / -search-tools / -execute-tool / -connect-toolkit discover, run, and OAuth-connect curated toolkits; all gated by islegacy integration vendorConfigured, and execute checks the account is ACTIVE before acting.","apps/x/packages/core/src/application/lib/builtin-tools.ts:1330; apps/x/packages/core/src/application/lib/builtin-tools.ts:1439","Tested","Pass (traced)","","",""
"F058","Chat/AssistantTools","Background task create/patch/run","As a user, I want to set up recurring self-running tasks from chat, so that the copilot maintains digests or performs scheduled actions.","create-background-task materializes bg-tasks/<slug> (task.yaml/index.md/runs) with optional cron/window/event triggers; patch-background-task edits one (extend-don't-fork); run-background-task-agent runs it now with optional one-off context.","apps/x/packages/core/src/application/lib/builtin-tools.ts:1506; apps/x/packages/core/src/application/lib/builtin-tools.ts:1541","Tested","Pass (traced)","","",""
"F059","Chat/AssistantTools","Live-note trigger","As a user, I want the copilot to refresh or backfill a live note on demand, so that a self-updating note reflects new info now.","run-live-note-agent manually runs the live-note agent on a note that has a live: frontmatter block, accepting optional one-off context (e.g. backfill from synced emails) and returning the action, summary, and new body.","apps/x/packages/core/src/application/lib/builtin-tools.ts:1473; apps/x/packages/core/src/application/assistant/skills/index.ts:119","Tested","Pass (traced)","","",""
"F060","Chat/AssistantTools","Desktop notifications (notify-user)","As a user, I want the copilot to send native notifications with clickable deep links, so that it can alert me and land me on the right note/view.","The notify-user tool shows an OS notification (title/message/optional action buttons) whose link opens an http(s):// URL in the browser or a solomon-ai:// deep link inside the app; gated by notification support.","apps/x/packages/core/src/application/lib/builtin-tools.ts:1570; apps/x/packages/core/src/application/assistant/skills/index.ts:131","Tested","Pass (traced)","","",""
"F061","Chat/AssistantTools","Agent analysis (analyzeAgent)","As a user, I want the copilot to inspect an agent definition, so that it can reason about that agent's tools and structure.","analyzeAgent fetches an agent file by name and returns its name, description, model, tool list/count, and whether it nests sub-agents.","apps/x/packages/core/src/application/lib/builtin-tools.ts:617; apps/x/packages/core/src/application/assistant/agent.ts:11","Tested","Pass (traced)","","",""
"F062","Chat","Copilot agent + dynamic instructions","As a user, I want one capable copilot whose abilities adapt to my setup, so that it knows my tools, OS, and connected services.","buildCopilotAgent assembles the ""solomon-ai"" agent from all BuiltinTools; instructions are built dynamically with runtime OS/shell context, the skill catalog, and legacy integration vendor sections, excluding skills/sections (legacy-integration-vendor, code-with-agents) when those features are off.","apps/x/packages/core/src/application/assistant/agent.ts:11; apps/x/packages/core/src/application/assistant/instructions.ts:325","Tested","Pass (traced)","","",""
"F063","Chat","Compact conversation view","As a user, I want a condensed transcript for non-chat surfaces, so that I can review a run's messages and tool calls in panels.","CompactConversation renders the same conversation items in a compact form (right-aligned user bubbles, full-width assistant markdown, collapsible tool rows, error banners) for the live-note ""Last run"" tab and background-task run drill-downs.","apps/x/apps/renderer/src/components/compact-conversation.tsx:25; apps/x/apps/renderer/src/components/compact-conversation.tsx:61","Tested","Pass (traced)","","",""
